METADATA:
Experiment Seed,Subject
7089873,subject117
Time after setup,1437.481680699988
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Two-Back Task
Start Time,1494.372501299993
2-back Task Start,1547.9878464999929,,,,Two-Back Task,1,subject117,,faces,
fixation cross,1548.0151736999978,,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1550.1397154999868,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1550.1397438999993,,,,Two-Back Task,1,subject117,,faces,
Choice made,1552.1686252999934,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1552.168664599987,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1554.2176917999896,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1554.2177181999868,,,,Two-Back Task,1,subject117,,faces,
Choice made,1556.2385306999931,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1556.2385699000006,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1558.2857205999899,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1558.2857463999972,,,,Two-Back Task,1,subject117,,faces,
Choice made,1560.3084395999904,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1560.3084785999963,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1562.360810699989,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1562.3608390000009,,,,Two-Back Task,1,subject117,,faces,
Choice made,1564.3950627999875,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1564.3951022999972,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1566.4396490999934,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1566.4396762999968,,,,Two-Back Task,1,subject117,,faces,
Choice made,1568.464957499993,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1568.4649998999957,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1570.515155599991,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1570.5151828999951,,,,Two-Back Task,1,subject117,,faces,
Choice made,1572.5348983999866,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1572.5349629999982,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1574.5822884999943,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1574.5823153999954,,,,Two-Back Task,1,subject117,,faces,
Choice made,1576.60471829999,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1576.6047565999907,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1578.650436099997,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1578.6504652999865,,,,Two-Back Task,1,subject117,,faces,
Choice made,1580.6745563999866,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1580.674625899992,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1582.7208066999883,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1582.720833399988,,,,Two-Back Task,1,subject117,,faces,
Choice made,1584.7445229999867,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1584.744561399988,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1586.7864012999926,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1586.7864285999967,,,,Two-Back Task,1,subject117,,faces,
Choice made,1588.8143981999892,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1588.8144368999929,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1590.8567527999985,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1590.8567798999866,,,,Two-Back Task,1,subject117,,faces,
Choice made,1592.8843834,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1592.8844223999913,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1594.9343769999978,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1594.934406299988,,,,Two-Back Task,1,subject117,,faces,
Choice made,1596.9542526999867,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1596.954291999995,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1599.0063813999877,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1599.0064077999996,,,,Two-Back Task,1,subject117,,faces,
Choice made,1601.0408143999957,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1601.040853300001,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1603.0856805999938,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1603.0857103999879,,,,Two-Back Task,1,subject117,,faces,
Choice made,1605.110730299988,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1605.1107695999963,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1607.183926400001,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1607.1839599999948,,,,Two-Back Task,1,subject117,,faces,
Choice made,1609.2139599999937,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1609.214020399988,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1611.2716830999998,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1611.271712799993,,,,Two-Back Task,1,subject117,,faces,
Choice made,1613.3005346999998,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1613.300573799992,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1615.3449999000004,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1615.345025799994,,,,Two-Back Task,1,subject117,,faces,
Choice made,1617.3704397999973,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1617.370477999997,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1619.4244944999955,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1619.4245220999874,,,,Two-Back Task,1,subject117,,faces,
Choice made,1620.673094999991,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1620.6731359999976,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1622.7188406999921,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1622.718867699994,,,,Two-Back Task,1,subject117,,faces,
Choice made,1623.6255023999984,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1623.6255436999927,False,,,Two-Back Task,1,subject117,,faces,
2-back Trial Start,1625.6722096999874,,,,Two-Back Task,1,subject117,,faces,
Choice presented,1625.6722362,,,,Two-Back Task,1,subject117,,faces,
Choice made,1626.811257399997,,,,Two-Back Task,1,subject117,,faces,
2-back Trial End,1626.8112975999975,False,,,Two-Back Task,1,subject117,,faces,
2-back Task End,1628.8296756999916,,,,Two-Back Task,1,subject117,,faces,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1628.831225899994
ESQ,1640.3329734,,Emotion_start,,Experience Sampling Questions,1,subject117,,,Two-Back Task-faces
ESQ,1649.4623184999946,,Emotion_response,8.29999999999999,Experience Sampling Questions,1,subject117,,Marker Started at 2,Two-Back Task-faces
