METADATA:
Experiment Seed,Subject
60022,subject177
Time after setup,26.51305210008286
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Zero-Back Task
Start Time,37.06473790004384
0-Back Start,37.06477340008132,,,,Zero-Back Task,1,subject177,,,
NoGoStimulus Start,97.0863775999751,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,97.83191140007693,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,99.74554260005243,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,100.89903249999043,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,103.4004662000807,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,103.96871769998688,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,105.94221700006165,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,107.02005639998242,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,108.73234280000906,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,110.07487850007601,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
ZeroBackStimulus Start,112.27742080006283,,,,Zero-Back Task,1,subject177,,ZeroBack,
ZeroBackStimulus End,113.8599252999993,True,,,Zero-Back Task,1,subject177,left,ZeroBack,
NoGoStimulus Start,117.9229345000349,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,119.19909890007693,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,121.13530910003465,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,122.24912930000573,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,123.81853090005461,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,125.30206310003996,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
ZeroBackStimulus Start,127.18789990001824,,,,Zero-Back Task,1,subject177,,ZeroBack,
ZeroBackStimulus End,128.23833229998127,True,,,Zero-Back Task,1,subject177,left,ZeroBack,
NoGoStimulus Start,132.97181650006678,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,134.42564670008142,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,136.73078680003528,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,137.47827540000435,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,139.99013470008504,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,140.53267680003773,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,142.47878000000492,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,143.59948690002784,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
ZeroBackStimulus Start,145.34566440002527,,,,Zero-Back Task,1,subject177,,ZeroBack,
ZeroBackStimulus End,146.08797390002292,True,,,Zero-Back Task,1,subject177,left,ZeroBack,
NoGoStimulus Start,152.15596040000673,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,152.70707170001697,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,154.4757592000533,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,155.7591649000533,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
NoGoStimulus Start,158.27299620001577,,,,Zero-Back Task,1,subject177,,ZeroBack,
NoGoStimulus End,158.81335030007176,True,,,Zero-Back Task,1,subject177,None,ZeroBack,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,158.8379318000516
ESQ,167.8855708000483,,Distracting_start,,Experience Sampling Questions,1,subject177,,,Zero-Back Task
ESQ,181.89570370002184,,Distracting_response,2.0000000000000115,Experience Sampling Questions,1,subject177,,Marker Started at 9,Zero-Back Task
ESQ,181.89763040002435,,Future_start,,Experience Sampling Questions,1,subject177,,,Zero-Back Task
ESQ,189.06816810008604,,Future_response,5.0,Experience Sampling Questions,1,subject177,,Marker Started at 5,Zero-Back Task
ESQ,189.07010030001402,,Sounds_start,,Experience Sampling Questions,1,subject177,,,Zero-Back Task
ESQ,197.4412673000479,,Sounds_response,1.0,Experience Sampling Questions,1,subject177,,Marker Started at 4,Zero-Back Task
ESQ,197.44318850000855,,Words_start,,Experience Sampling Questions,1,subject177,,,Zero-Back Task
ESQ,203.58092450001277,,Words_response,9.999999999999986,Experience Sampling Questions,1,subject177,,Marker Started at 2,Zero-Back Task
ESQ,203.5814892000053,,Detailed_start,,Experience Sampling Questions,1,subject177,,,Zero-Back Task
ESQ,221.86002240004018,,Detailed_response,8.79999999999999,Experience Sampling Questions,1,subject177,,Marker Started at 2,Zero-Back Task
ESQ,221.86083929997403,,Self_start,,Experience Sampling Questions,1,subject177,,,Zero-Back Task
ESQ,227.4661660999991,,Self_response,10.0,Experience Sampling Questions,1,subject177,,Marker Started at 3,Zero-Back Task
ESQ,227.4680872000754,,Problem_start,,Experience Sampling Questions,1,subject177,,,Zero-Back Task
ESQ,233.78823080006987,,Problem_response,9.999999999999996,Experience Sampling Questions,1,subject177,,Marker Started at 9,Zero-Back Task
