METADATA:
Experiment Seed,Subject
7529679,subject070
Time after setup,18.466016899998067
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Hard Math Task
Start Time,90.34615349999513
Math Task Start,111.56298980000429,,,,Hard Math Task,1,subject070,,,
fixation cross,111.58466500000213,,,,Hard Math Task,1,subject070,,,
Math Trial Start,113.64064339999459,,,,Hard Math Task,1,subject070,,,
Choice presented,113.65075600000273,,,,Hard Math Task,1,subject070,,,
Choice made,119.10266469999624,,,,Hard Math Task,1,subject070,,,
Math Trial End,119.10269729999709,False,,,Hard Math Task,1,subject070,,,
Math Trial Start,121.13506169999891,,,,Hard Math Task,1,subject070,,,
Choice presented,121.13977429999795,,,,Hard Math Task,1,subject070,,,
Choice made,123.75622889999067,,,,Hard Math Task,1,subject070,,,
Math Trial End,123.75626090000151,False,,,Hard Math Task,1,subject070,,,
Math Trial End,123.75627470000472,False,,,Hard Math Task,1,subject070,,,
Math Trial Start,125.78638969999156,,,,Hard Math Task,1,subject070,,,
Choice presented,125.7927742000029,,,,Hard Math Task,1,subject070,,,
Choice made,128.37716329999967,,,,Hard Math Task,1,subject070,,,
Math Trial End,128.37727179999638,True,,,Hard Math Task,1,subject070,,,
Math Trial End,128.37732020000112,True,,,Hard Math Task,1,subject070,,,
Math Trial Start,130.41140769999765,,,,Hard Math Task,1,subject070,,,
Choice presented,130.43050129999756,,,,Hard Math Task,1,subject070,,,
Choice made,132.31357990000106,,,,Hard Math Task,1,subject070,,,
Math Trial End,132.31366689999413,True,,,Hard Math Task,1,subject070,,,
Math Trial End,132.31371370000124,True,,,Hard Math Task,1,subject070,,,
Math Trial Start,134.34315990000323,,,,Hard Math Task,1,subject070,,,
Choice presented,134.35005880000244,,,,Hard Math Task,1,subject070,,,
Choice made,136.5669884999952,,,,Hard Math Task,1,subject070,,,
Math Trial End,136.56707609999285,False,,,Hard Math Task,1,subject070,,,
Math Trial End,136.56712379999226,False,,,Hard Math Task,1,subject070,,,
Math Trial Start,138.597528600003,,,,Hard Math Task,1,subject070,,,
Choice presented,138.60376990000077,,,,Hard Math Task,1,subject070,,,
Choice made,140.52022099999886,,,,Hard Math Task,1,subject070,,,
