METADATA:
Experiment Seed,Subject
8443046,subject136
Time after setup,24.035568099992815
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Two-Back Task
Start Time,37.579941400006646
2-back Task Start,92.99017350000213,,,,Two-Back Task,1,subject136,,faces,
fixation cross,93.01029780000681,,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,95.08779970000614,,,,Two-Back Task,1,subject136,,faces,
Choice presented,95.08782499999506,,,,Two-Back Task,1,subject136,,faces,
Choice made,97.12230839999393,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,97.12234569998691,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,99.16607659999863,,,,Two-Back Task,1,subject136,,faces,
Choice presented,99.16610619999119,,,,Two-Back Task,1,subject136,,faces,
Choice made,101.19215329998406,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,101.19219919998432,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,103.23917970000184,,,,Two-Back Task,1,subject136,,faces,
Choice presented,103.23920469998848,,,,Two-Back Task,1,subject136,,faces,
Choice made,105.26213699998334,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,105.26217689999612,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,107.30896959998063,,,,Two-Back Task,1,subject136,,faces,
Choice presented,107.30899499999941,,,,Two-Back Task,1,subject136,,faces,
Choice made,109.33201759998337,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,109.33205669999006,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,111.37780529999873,,,,Two-Back Task,1,subject136,,faces,
Choice presented,111.37783119999222,,,,Two-Back Task,1,subject136,,faces,
Choice made,113.18511540000327,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,113.18518209998729,True,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,115.2324942999985,,,,Two-Back Task,1,subject136,,faces,
Choice presented,115.23251989998971,,,,Two-Back Task,1,subject136,,faces,
Choice made,116.63780219998443,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,116.63784429998486,True,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,118.68741250000312,,,,Two-Back Task,1,subject136,,faces,
Choice presented,118.68743799999356,,,,Two-Back Task,1,subject136,,faces,
Choice made,120.09054559998913,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,120.09058649998042,True,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,122.13354569999501,,,,Two-Back Task,1,subject136,,faces,
Choice presented,122.13357239999459,,,,Two-Back Task,1,subject136,,faces,
Choice made,124.16040709998924,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,124.16044469998451,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,126.20620630000485,,,,Two-Back Task,1,subject136,,faces,
Choice presented,126.20623320000595,,,,Two-Back Task,1,subject136,,faces,
Choice made,128.23039620000054,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,128.230433299992,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,130.27658899998642,,,,Two-Back Task,1,subject136,,faces,
Choice presented,130.27661450000596,,,,Two-Back Task,1,subject136,,faces,
Choice made,132.0834959000058,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,132.08353839998017,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,134.12682819998008,,,,Two-Back Task,1,subject136,,faces,
Choice presented,134.12685450000572,,,,Two-Back Task,1,subject136,,faces,
Choice made,135.76974869999685,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,135.76979160000337,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,137.82336869998835,,,,Two-Back Task,1,subject136,,faces,
Choice presented,137.82339499998488,,,,Two-Back Task,1,subject136,,faces,
Choice made,139.0389473999967,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,139.03898819998722,True,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,141.0826490999898,,,,Two-Back Task,1,subject136,,faces,
Choice presented,141.0826798999915,,,,Two-Back Task,1,subject136,,faces,
Choice made,143.10893149999902,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,143.10896919999504,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,145.17703989997972,,,,Two-Back Task,1,subject136,,faces,
Choice presented,145.17707010000595,,,,Two-Back Task,1,subject136,,faces,
Choice made,147.21206359998905,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,147.2121335999982,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,149.25984929999686,,,,Two-Back Task,1,subject136,,faces,
Choice presented,149.25987710000481,,,,Two-Back Task,1,subject136,,faces,
Choice made,151.28201619998435,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,151.2820553999918,False,,,Two-Back Task,1,subject136,,faces,
2-back Trial Start,153.32999080000445,,,,Two-Back Task,1,subject136,,faces,
Choice presented,153.33001619999413,,,,Two-Back Task,1,subject136,,faces,
Choice made,154.5512929999968,,,,Two-Back Task,1,subject136,,faces,
2-back Trial End,154.55133409998962,True,,,Two-Back Task,1,subject136,,faces,
2-back Task End,156.56912659999216,,,,Two-Back Task,1,subject136,,faces,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,156.5730215999938
ESQ,166.35764030000428,,Absorption_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,177.38573019998148,,Absorption_response,2.2000000000000117,Experience Sampling Questions,1,subject136,,Marker Started at 9,Two-Back Task-faces
ESQ,177.3873626999848,,Words_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,188.19585509999888,,Words_response,2.800000000000016,Experience Sampling Questions,1,subject136,,Marker Started at 10,Two-Back Task-faces
ESQ,188.19735319999745,,Self_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,191.69722209998872,,Self_response,3.0,Experience Sampling Questions,1,subject136,,Marker Started at 3,Two-Back Task-faces
ESQ,191.69893419998698,,Other_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,199.55493759998353,,Other_response,2.1999999999999993,Experience Sampling Questions,1,subject136,,Marker Started at 3,Two-Back Task-faces
ESQ,199.55682729999535,,Distracting_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,205.62483019998763,,Distracting_response,6.1999999999999975,Experience Sampling Questions,1,subject136,,Marker Started at 3,Two-Back Task-faces
ESQ,205.6263323999883,,Detailed_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,209.2626242999977,,Detailed_response,2.1999999999999993,Experience Sampling Questions,1,subject136,,Marker Started at 3,Two-Back Task-faces
ESQ,209.26421039999695,,Focus_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,219.736124499992,,Focus_response,1.7999999999999976,Experience Sampling Questions,1,subject136,,Marker Started at 5,Two-Back Task-faces
ESQ,219.73785780000617,,Intrusive_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,223.49028410000028,,Intrusive_response,5.400000000000002,Experience Sampling Questions,1,subject136,,Marker Started at 6,Two-Back Task-faces
ESQ,223.49075409999932,,Future_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,229.15973469999153,,Future_response,1.0,Experience Sampling Questions,1,subject136,,Marker Started at 4,Two-Back Task-faces
ESQ,229.16141760000028,,Problem_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,235.91789609999978,,Problem_response,4.000000000000002,Experience Sampling Questions,1,subject136,,Marker Started at 3,Two-Back Task-faces
ESQ,235.91961280000396,,Images_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,246.77613869999186,,Images_response,9.100000000000003,Experience Sampling Questions,1,subject136,,Marker Started at 5,Two-Back Task-faces
ESQ,246.7778454000072,,Past_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,254.73068209999474,,Past_response,5.200000000000001,Experience Sampling Questions,1,subject136,,Marker Started at 10,Two-Back Task-faces
ESQ,254.73237369998242,,Deliberate_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,261.20231920000515,,Deliberate_response,1.0,Experience Sampling Questions,1,subject136,,Marker Started at 3,Two-Back Task-faces
ESQ,261.2039371999854,,Sounds_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,265.44018989999313,,Sounds_response,1.0,Experience Sampling Questions,1,subject136,,Marker Started at 7,Two-Back Task-faces
ESQ,265.4418608999986,,Knowledge_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,274.49637360000634,,Knowledge_response,2.9000000000000017,Experience Sampling Questions,1,subject136,,Marker Started at 6,Two-Back Task-faces
ESQ,274.4979744000011,,Emotion_start,,Experience Sampling Questions,1,subject136,,,Two-Back Task-faces
ESQ,280.8196925999946,,Emotion_response,3.9000000000000017,Experience Sampling Questions,1,subject136,,Marker Started at 2,Two-Back Task-faces
EXPERIMENT DATA:,Two-Back Task
Start Time,280.84147069999017
2-back Task Start,307.11784170000465,,,,Two-Back Task,1,subject136,,faces,
