METADATA:
Experiment Seed,Subject
3327366,subject188
Time after setup,4.789142099994933
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Memory Task
Start Time,65.65376370000013
Memory Task Starting,66.38574349999544,,,,Memory Task,1,subject188,,,
Memory Prompt Shown,91.74353119998705,,,,Memory Task,1,subject188,,,
Text Input Submitted,132.15518119999615,,,,Memory Task,1,subject188,,,
Ready Check Started,136.1708010000002,,,,Memory Task,1,subject188,,,
Ready Check Ended,142.76266909998958,,,,Memory Task,1,subject188,,,
Blank Memory Recall Period Started,162.77840039999865,,,,Memory Task,1,subject188,,,
Blank Memory Recall Period Ended,163.77940210000088,,,,Memory Task,1,subject188,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,164.80332729998918
ESQ,178.80299809999997,,Sounds_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,194.4851345999923,,Sounds_response,1.0,Experience Sampling Questions,1,subject188,,Marker Started at 4,Memory Task
ESQ,194.4856923999905,,Words_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,202.3763878999889,,Words_response,7.000000000000007,Experience Sampling Questions,1,subject188,,Marker Started at 9,Memory Task
ESQ,202.37799399999494,,Emotion_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,208.18105549999746,,Emotion_response,10.0,Experience Sampling Questions,1,subject188,,Marker Started at 7,Memory Task
ESQ,208.18265969998902,,Future_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,213.7857248999935,,Future_response,1.0,Experience Sampling Questions,1,subject188,,Marker Started at 5,Memory Task
ESQ,213.78722089999064,,Problem_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,222.17568239998946,,Problem_response,1.0,Experience Sampling Questions,1,subject188,,Marker Started at 10,Memory Task
ESQ,222.17728659999557,,Focus_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,228.33027059999586,,Focus_response,1.0,Experience Sampling Questions,1,subject188,,Marker Started at 5,Memory Task
ESQ,228.3317662999907,,Absorption_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,237.12130269999034,,Absorption_response,6.4999999999999964,Experience Sampling Questions,1,subject188,,Marker Started at 3,Memory Task
ESQ,237.12281199998688,,Knowledge_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,243.34262929999386,,Knowledge_response,10.0,Experience Sampling Questions,1,subject188,,Marker Started at 2,Memory Task
ESQ,243.34412029999658,,Detailed_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,248.8121223999915,,Detailed_response,7.700000000000008,Experience Sampling Questions,1,subject188,,Marker Started at 10,Memory Task
ESQ,248.81361919999472,,Distracting_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,258.8888758999965,,Distracting_response,2.900000000000001,Experience Sampling Questions,1,subject188,,Marker Started at 2,Memory Task
ESQ,258.8903752999904,,Other_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,263.4759653999936,,Other_response,7.100000000000003,Experience Sampling Questions,1,subject188,,Marker Started at 8,Memory Task
ESQ,263.4774577999924,,Self_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,268.29517319999286,,Self_response,7.800000000000008,Experience Sampling Questions,1,subject188,,Marker Started at 9,Memory Task
ESQ,268.29667789999803,,Past_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,271.13273479999043,,Past_response,10.0,Experience Sampling Questions,1,subject188,,Marker Started at 10,Memory Task
ESQ,271.13343269999314,,Deliberate_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,277.5539284999977,,Deliberate_response,7.499999999999998,Experience Sampling Questions,1,subject188,,Marker Started at 7,Memory Task
ESQ,277.55543589999434,,Images_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,281.1055739000003,,Images_response,10.0,Experience Sampling Questions,1,subject188,,Marker Started at 7,Memory Task
ESQ,281.10705489999964,,Intrusive_start,,Experience Sampling Questions,1,subject188,,,Memory Task
ESQ,287.09295959999145,,Intrusive_response,1.0,Experience Sampling Questions,1,subject188,,Marker Started at 10,Memory Task
EXPERIMENT DATA:,Memory Task
Start Time,287.1121220999921
Memory Task Starting,287.4876368999976,,,,Memory Task,1,subject188,,,
Memory Prompt Shown,306.89024869998684,,,,Memory Task,1,subject188,,,
Text Input Submitted,327.3636270999996,,,,Memory Task,1,subject188,,,
Ready Check Started,331.39339339999424,,,,Memory Task,1,subject188,,,
Ready Check Ended,335.38604959999793,,,,Memory Task,1,subject188,,,
Blank Memory Recall Period Started,355.40136289999646,,,,Memory Task,1,subject188,,,
Blank Memory Recall Period Ended,356.41888859999017,,,,Memory Task,1,subject188,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,357.4375671999878
ESQ,360.5166295999952,,Distracting_start,,Experience Sampling Questions,1,subject188,,,Memory Task
