Subject,Experience_Sampling_Questions_Response_Time,GoNoGo_Task_Response_Time,Go_Task_Accuracy,NoGo_Task_Accuracy,Finger_Tapping_Task_Response_Time,Finger_Tapping_Task_Accuracy,Two-Back_Task-faces_Response_Time,Two-Back_Task-faces_Accuracy,Two-Back_Task-scenes_Response_Time,Two-Back_Task-scenes_Accuracy,One-Back_Task_Response_Time,One-Back_Task_Accuracy,Zero-Back_Task_Response_Time,Zero-Back_Task_Accuracy,Hard_Math_Task_Response_Time,Hard_Math_Task_Accuracy,Easy_Math_Task_Response_Time,Easy_Math_Task_Accuracy,Friend_Task_Response_Time,Friend_Task_Sentiment,You_Task_Response_Time,You_Task_Sentiment
subject_116,5.918002276,0.996205419,0.947368421,0.966942149,0.30715434,1,0.846539679,0.821428571,0.884040996,0.859649123,1.316652714,1,0.684804667,1,1.912043568,0.983333333,1.87664907,0.98245614,0.895377279,0.811320739,1.007169949,0.602941168
subject_117,3.658282014,1.034684938,0.857142857,0.915789474,0.338844325,1,1.385431549,0.553191489,1.197571838,0.914893617,1.14413942,1,0.655458575,1,3.497153184,0.857142857,1.98710819,0.949152542,0.753847151,0.901960767,0.947254216,0.76190475
subject_118,3.964846796,0.987288616,0.5,0.62,0.404778983,1,0.767402609,0.863636364,0.752093977,0.885245902,0.912304655,0.272727273,0.602315822,0.777777778,1.971428813,1,1.86908933,1,0.74725059,0.938775491,0.770077864,0.777777767
subject_119,3.332182009,1.015028547,0.823529412,0.890756303,0.778508015,1,1.796668694,0.151515152,1.680872077,0.256410256,1.254881845,1,0.927060927,1,2.245439976,0.777777778,1.948391295,0.964285714,1.223630117,0.761904744,1.156983667,0.741379298
subject_12,4.003656253,1.010732685,0.692307692,0.833333333,0.365693066,1,0.858165077,0.813953488,1.192577983,0.723404255,1.100251444,1,0.63596201,1,1.997656328,0.983606557,1.899939648,0.979166667,1.315750166,0.51999999,1.429669324,0.654545443
subject_120,4.568955716,0.989388954,0.8125,0.864864865,0.405895506,1,0.976834221,0.85106383,1.033588755,0.840909091,0.984615608,0.916666667,2.55890886,0.7,2.571500802,0.914893617,1.998230054,0.960784314,1.10973016,0.755555539,1.050065088,0.840579698
subject_121,8.349463342,1.001835118,1,0,1.821789954,0.84,2.027386105,0,2.015939557,0.028571429,4.040371164,0,4.147463545,0,5.056018247,0,2.853437884,0.083333333,5.521134556,0,5.521188252,0
subject_122,3.406720782,1.038472812,0.785714286,0.808333333,0.339476788,1,0.691656646,0.703703704,0.66541638,0.816326531,1.131571823,1,0.862478473,0.818181818,2.097949313,0.796296296,1.897100985,1,1.509764718,0.641025625,1.511439782,0.734693863
subject_123,4.437174181,1.007086945,1,0.85840708,0.364732363,1,1.205554236,0.794871795,1.166891426,0.85106383,1.153737845,1,0.8760645,1,2.077645528,0.98245614,2.107902444,0.959183673,0.931944441,0.820512799,1.022104619,0.808823518
subject_125,3.926758269,0.990952589,0.888888889,0.869918699,0.390857328,1,0.783947447,0.790697674,0.686205106,0.729166667,1.622265617,0.833333333,1.55994625,0.9,2.037255969,1,1.924466372,1,1.150771444,0.928571406,1.363823479,0.678571416
