Subject,Experience_Sampling_Questions_Response_Time,GoNoGo_Task_Response_Time,Go_Task_Accuracy,NoGo_Task_Accuracy,Finger_Tapping_Task_Response_Time,Finger_Tapping_Task_Accuracy,Two-Back_Task-faces_Response_Time,Two-Back_Task-faces_Accuracy,Two-Back_Task-scenes_Response_Time,Two-Back_Task-scenes_Accuracy,One-Back_Task_Response_Time,One-Back_Task_Accuracy,Zero-Back_Task_Response_Time,Zero-Back_Task_Accuracy,Hard_Math_Task_Response_Time,Hard_Math_Task_Accuracy,Easy_Math_Task_Response_Time,Easy_Math_Task_Accuracy,Friend_Task_Response_Time,Friend_Task_Sentiment,You_Task_Response_Time,You_Task_Sentiment
subject_184,3.385809839,1.000025426,0.888888889,0.233009709,0.383884917,1,1.107185094,0.775510204,0.776312009,0.911111111,1.199061227,1,1.3854197,1,2.617844988,0.756097561,2.069294606,0.983870968,1.312340798,0.978723383,1.082476397,0.67187499
subject_185,4.825393298,1.025297727,0.777777778,0.950980392,0.476850784,1,1.167337502,0.911111111,1.394968257,0.648648649,1.128438973,1,0.678505282,1,2.49065387,0.97826087,1.996532419,1,1.279059834,0.886363616,1.395435428,0.769230754
subject_186,3.656264486,1.011912815,0.714285714,0.954954955,0.3801441,1,1.681966409,0.288888889,1.696677385,0.282051282,1.28250678,1,0.905736367,1,2.150400964,0.927272727,1.981435677,0.982142857,0.974038236,0.829787216,0.990584836,0.850746256
subject_187,2.553658812,0.978030305,0.8,0.247619048,0.351328896,1,1.148242041,0.634146341,0.657229504,0.857142857,0.858655645,1,0.5856323,1,1.978556681,0.96875,1.860136366,0.942307692,0.64906592,0.836734677,0.723708044,0.583333325
subject_188,3.225553313,1.031883115,0.5,0.972477064,0.429941639,1,1.129457036,0.933333333,0.856781931,0.846153846,1.147133892,1,0.69172087,1,2.22820344,0.9,1.948434738,0.961538462,1.33336994,0.833333316,1.483261896,0.779999984
subject_189,3.788502825,1.03482939,1,0.075471698,0.420464133,1,1.4649093,0.666666667,1.192055837,0.826086957,1.14860906,0.9,0.689727127,1,2.411657913,0.803921569,1.953092065,0.962962963,1.084737792,0.842105241,1.069749546,0.868852445
subject_190,3.162130106,1.01485607,0.714285714,0.574257426,0.45459571,1,0.785049585,0.903846154,0.690642488,0.821428571,1.896512889,0.777777778,1.343984244,1,2.390844175,0.833333333,1.941731206,0.979591837,1.41497482,0.824999979,0.929104683,0.746478863
subject_191,3.52372811,1.05061493,0.933333333,0.717391304,0.377666964,1,1.016253784,0.82,0.953869128,0.84,1.532034355,1,0.68629272,1,2.012661229,0.730769231,1.918342261,0.962962963,0.829533462,0.799999982,0.706632205,0.702702693
subject_192,3.011432826,1.016358278,0.764705882,0.862385321,0.51543204,1,0.81569275,0.962962963,0.840974975,0.818181818,1.045168542,0.916666667,0.787365925,1,2.660057767,0.928571429,1.897104167,1,1.682430074,0.810810789,1.075154768,0.877192967
subject_193,4.304042627,1.030465644,0.777777778,0.855769231,0.377138453,1,1.114541845,0.7,0.913791513,0.826923077,1.221781073,1,1.039653918,0.909090909,2.183904776,0.918367347,1.889063247,0.943396226,1.205035651,0.627906962,0.953904273,0.878787865
subject_194,3.243617395,1.058052167,0.941176471,0.966101695,0.335565393,1,1.079820676,0.88,0.860218047,0.964912281,0.87524564,1,0.64402885,0.9,2.592935063,0.857142857,1.845115894,1,0.842694429,0.84615383,0.798033286,0.892307679
subject_195,3.766111736,0.972110164,1,0.009803922,0.453523654,1,1.005713622,0.8,1.024196343,0.821428571,1.66534415,0.8,0.740798027,1,2.287153635,0.733333333,1.997137811,0.90625,0.95231274,0.903846136,0.971373767,0.841269828
subject_196,4.135099171,1.015534383,0.375,0.930232558,0.331913077,1,0.823002577,0.807017544,0.89384234,0.92,0.76346924,1,0.60421983,0.8,2.505287102,0.956521739,1.831621456,0.964912281,0.958949221,0.807692292,0.787917181,0.819444433
subject_197,3.001914215,1.043662265,0.466666667,0.962962963,0.714782752,1,0.693252771,0.857142857,0.833643002,0.807692308,0.785389111,0.888888889,0.767094864,1,2.501158151,0.730769231,2.097218325,0.882352941,1.040558267,0.666666651,1.044807815,0.666666656
subject_198,4.08545665,1.013709213,0.733333333,0.87755102,0.379113232,1,1.178397345,0.787234043,1.207097905,0.780487805,1.4786295,1,0.929123858,0.916666667,2.628120432,0.714285714,2.095911064,0.981481481,1.47242663,0.756756736,1.099047032,0.499999993
subject_199,3.460834972,1.000625513,1,0.957983193,0.324255549,1,0.929722698,0.840909091,1.056791546,0.8125,0.837757089,1,0.61858651,1,2.148251715,0.963636364,1.906622152,1,1.637299005,0.921052607,1.475521222,0.722222209
subject_2,3.322561875,0.958713219,0.357142857,0.5,0.360202145,1,0.863435302,0.822222222,1.104540359,0.717948718,1.678368525,0.916666667,0.796701683,1,2.085445934,1,1.995231273,0.984126984,2.262775382,0.805555533,1.655469134,0.735849043
subject_20,3.710095084,1.022217144,0.714285714,0.833333333,0.667570236,1,1.469652943,0.675675676,1.080021065,0.913043478,1.0362373,1,0.634183127,0.933333333,2.863491125,0.906976744,1.989937846,0.981481481,1.280244708,0.93749998,1.363397858,0.884615368
subject_200,3.89211082,0.998172618,0.8125,0.955357143,0.36733969,1,0.997807335,0.869565217,1.014859773,0.902439024,1.034947033,1,0.81343469,1,2.18375504,0.977777778,1.942283853,0.966666667,1.24149456,0.738095221,0.871467513,0.590163925
subject_202,7.95589124,1.045533576,0.615384615,0.587719298,0.567573368,1,1.014980331,0.875,1.416646795,0.853658537,1.257631509,1,1.120690022,1,2.422186181,0.981132075,2.078176143,1,1.039782457,0.957446788,1.136874717,0.869565205
subject_203,6.100582678,1.017423003,0.470588235,0.596153846,0.329880826,1,0.874544202,0.942307692,1.253595395,0.880952381,0.767547718,1,0.547575945,1,1.984759043,0.921568627,1.838779431,0.955223881,0.890882638,0.624999984,0.857366398,0.777777765
subject_204,4.854585813,0.989323605,0.764705882,0.773913043,0.533547389,1,1.204757876,0.822222222,1.197197244,0.844444444,1.033709611,1,0.654782878,1,2.268311998,0.905660377,1.929317538,0.983333333,0.985115537,0.903846136,0.873091716,0.828947358
subject_205,4.692460438,1.034237524,0.866666667,0.619834711,0.456453177,1,1.465484717,0.682926829,1.371546091,0.772727273,2.76810951,0.7,0.8858105,1,2.022285669,0.921568627,1.979150612,0.984375,1.8934233,0.749999981,1.854330309,0.674418589
subject_21,3.136961026,0.965438006,0.785714286,0.796460177,0.459892403,1,0.780237824,0.85483871,0.715056163,0.923076923,1.14483411,0.7,0.767068631,0.923076923,2.380766643,0.980392157,1.926837792,0.983870968,0.975734248,0.847826069,1.049492781,0.745762699
subject_22,3.635303368,1.007646152,0.727272727,0.719008264,0.41064447,0.983333333,0.688703825,0.8125,0.638835284,0.684210526,2.484724527,0.363636364,4.229472687,0.25,3.851788462,0.266666667,2.609947981,0.545454545,1.482572936,0.621621605,1.003072421,0.596774184
subject_23,3.562970856,1.00540627,0.466666667,0.849206349,0.536319084,1,1.077615,0.875,0.858576814,0.863636364,1.58774799,1,1.162486655,1,2.588925815,0.888888889,2.060643552,0.967741935,1.841243116,0.697674402,1.315617412,0.353846148
subject_24,3.8715583,1.05324947,1,0.490566038,0.398944006,1,1.351626198,0.577777778,1.034112423,0.821428571,1.28039765,1,0.736442792,1,2.715132704,0.826923077,1.955888678,1,1.05225637,0.774999981,1.042089875,0.633802808
subject_26,3.095144049,0.983965988,0.9375,0.654867257,0.410960802,1,1.118364716,0.764705882,1.076210202,0.833333333,1.2934098,0.909090909,1.071359911,1,2.816800923,0.863636364,1.953734216,1,1.157548165,0.826086939,1.099257511,0.707692297
subject_27,4.864902289,1.010722393,0.714285714,0.582524272,0.357420588,1,0.99433239,0.729166667,0.857697724,0.84,1.3928013,1,1.488633775,0.666666667,2.176986563,0.898305085,2.025666545,0.981132075,1.24451931,0.928571406,1.256734135,0.866666652
subject_28,3.972840541,0.995536371,0.466666667,0.458333333,0.398779424,1,0.729596147,0.636363636,0.729084387,0.951612903,1.3475184,0.888888889,0.58807126,0.8,2.004037417,1,1.810502178,0.985074627,1.308356469,0.77777776,1.245566345,0.532258056
subject_29,2.371127008,1.05826942,1,0,0.521464508,0.984615385,0.68114042,0.888888889,1.337073416,0.511627907,0.957118583,1,0.739514727,0.909090909,1.975790278,0.907407407,1.876713315,0.984615385,0.806169898,0.862745081,0.857848834,0.880597002
subject_3,5.543979584,1.012315619,0.933333333,0.076923077,0.389048115,1,1.222198589,0.863636364,0.866540176,0.898305085,1.449213227,0.636363636,2.12270345,0.666666667,2.146181298,0.854166667,2.017082533,0.947368421,1.385705178,0.799999982,1.345527669,0.870967728
subject_30,3.425812619,1.004867706,1,0,0.754048695,0.983333333,1.5964653,0.114285714,1.683150232,0.205882353,1.533833208,0.923076923,1.242764655,1,3.385527193,0.285714286,2.331544027,0.717391304,1.334009957,0.744186029,0.870883991,0.621212112
subject_31,4.925066629,1.022938179,0.8125,0.982300885,0.338182471,1,1.057796649,0.755555556,1.124544362,0.75,0.895027375,1,0.713542189,1,2.106202825,1,1.874333296,1,1.156075195,0.731707299,0.937338967,0.626666658
subject_32,3.901276563,1.036409719,0.785714286,0.720720721,0.366710371,1,1.024905755,0.666666667,1.380966223,0.522727273,0.9135821,1,0.458689685,0.846153846,2.579977598,0.807692308,2.136826702,0.913043478,1.684047141,0.891891868,1.30070537,0.78333332
subject_33,2.497223937,1.048711928,0.538461538,0.553398058,0.764335378,0.984615385,0.840682148,0.803571429,1.076361845,0.523809524,2.218360325,0.75,0.793511267,0.916666667,2.478491422,0.631578947,1.979117303,1,1.414865905,0.780487786,1.195330763,0.602941168
subject_34,4.41311216,1.041084664,1,0.705882353,0.343668435,1,1.172050696,0.833333333,1.047040702,0.980769231,0.72264674,1,0.502583746,0.923076923,2.225310487,0.875,1.867150833,0.960784314,1.17162043,0.79999998,1.023046745,0.709677408
subject_35,3.085278047,0.999183746,0.578947368,0.948979592,0.368497548,1,0.573899649,0.829787234,0.71318357,0.808510638,0.86158728,0.9,0.67824325,0.75,2.245064817,0.884615385,1.986492179,0.962264151,0.68516442,0.608695639,0.745670799,0.746666657
subject_36,5.807043342,1.031128767,1,0,0.590072983,0.971428571,1.708053032,0.43902439,1.153996586,0.785714286,1.19790325,1,0.711898467,1,2.01810856,0.924528302,1.898377913,0.943396226,1.561368779,0.743589725,1.682402933,0.639999987
subject_37,2.889887447,1.039493854,0.785714286,0.913043478,0.368420737,1,0.866711806,0.86,0.857233243,0.888888889,0.573612286,1,0.562790225,0.916666667,2.716172696,0.769230769,1.979581535,0.98,1.149690127,0.853658516,1.191559451,0.785714274
subject_38,2.975960672,1.014492317,0.8,0.189189189,0.397474695,1,0.772260584,0.84,0.704834112,0.833333333,1.122117921,0.714285714,0.732076845,0.909090909,2.296009605,0.627118644,2.180409008,0.829787234,1.192249649,0.906976723,1.174572105,0.491228062
subject_4,1.855168948,1.00123515,0.705882353,0.22,0.643237802,1,0.519035731,0.888888889,0.575851715,0.957446809,2.19659493,0.7,1.424060692,0.916666667,2.029752055,0.905660377,2.044994685,0.865384615,0.866692021,0.770833317,0.656271571,0.644736834
subject_41,4.11416753,1.048669007,0.846153846,0.705882353,0.357936486,1,1.19972117,0.5,0.723988015,0.867924528,1.88637045,0.714285714,0.79853371,0.8,2.187219405,0.890909091,2.019412638,0.96875,1.124928083,0.833333313,1.092574823,0.596774184
subject_42,3.02007283,0.967996786,0.866666667,0.943925234,0.372297274,1,0.775454542,0.849056604,0.860681903,0.728813559,1.391618367,0.75,0.655732408,0.916666667,1.997308967,0.913793103,1.854017585,1,0.907937088,0.901960767,0.949704774,0.786885233
subject_43,2.435971167,1.013855855,0.4375,0.813953488,0.56236277,1,1.45801649,0.642857143,0.793106688,0.788461538,1.041467067,0.888888889,1.009405888,1,2.508474015,0.872340426,2.046231814,0.959183673,1.724088641,0.780487786,1.491969125,0.699999988
subject_44,3.847723042,1.04435405,0.8,0.75257732,1.37990196,0.8,0.933899294,0.692307692,0.704319474,0.777777778,1.09665794,0.5,1.57047622,0.7,2.063633832,0.982142857,1.905364345,1,1.372919903,0.944444418,1.477689498,0.666666655
subject_45,3.852274395,1.004228995,0.785714286,0.938053097,0.324785992,1,0.94132569,0.82,0.894137378,1,1.222766857,0.142857143,0.741018073,0.909090909,2.25253153,0.68,1.93257987,0.981481481,1.20530642,0.695652159,1.102709186,0.680555546
subject_46,4.336075684,1.039469475,0.545454545,0.58,0.457395095,1,0.748232736,0.905660377,0.993949998,0.791666667,1.457176862,0.538461538,1.268468918,0.909090909,2.972316253,0.681818182,2.125091894,0.901960784,1.010739588,0.843137238,1.397321402,0.596491218
subject_47,3.467721232,0.989710067,0.733333333,0.853211009,0.322528598,1,0.860387332,0.84,1.027749225,0.791666667,0.700140664,1,0.68385117,1,2.022871432,0.92,1.826678306,0.985074627,1.52387341,0.65789472,1.312083932,0.699999988
subject_48,3.685231006,1.018860978,0.947368421,0.866071429,0.324005234,1,0.811076998,0.8,1.007050077,0.790697674,0.66742901,1,0.5975758,1,2.720196307,0.909090909,1.869572071,1,1.522798723,0.599999983,1.179716237,0.629032248
subject_49,4.975231181,1.01023627,0.8,0.834782609,0.455036224,1,1.491749794,0.888888889,1.526720225,0.5625,1.890335409,0.636363636,1.406279762,1,2.206470426,0.867924528,2.012268923,0.98245614,1.09298262,0.878048759,1.059630585,0.711864395
subject_5,3.648076123,1.016793828,0.833333333,0.473684211,0.449261003,1,1.246376696,0.695652174,1.273319558,0.888888889,1.363222591,0.909090909,1.34953999,0.9,2.36132541,0.916666667,2.029559831,0.982142857,1.201339611,0.799999982,1.097912057,0.671641781
subject_50,6.060724741,1.033922236,0.9375,0.990909091,0.327661943,1,0.771517862,0.888888889,0.845967942,0.85483871,0.88597472,1,0.607193127,0.909090909,2.800647576,0.853658537,1.898962347,1,1.616707912,0.724999982,1.018181824,0.602941168
subject_51,4.40286679,0.997979854,0.75,0.666666667,0.761079154,0.984615385,1.186248485,0.808510638,1.097212995,0.860465116,1.129686447,1,0.7065451,1,2.572283173,0.857142857,2.077299286,0.964912281,1.702187836,0.86842103,1.442542802,0.574074063
subject_52,3.750117594,0.991674273,0.466666667,0.882978723,2.63190012,0.533333333,1.219747562,0.733333333,1.244388676,0.736842105,2.091739633,1,0.802351309,1,2.297575378,0.851851852,2.031713375,0.945454545,1.220803695,0.837837815,1.230903441,0.759259245
subject_53,2.901886084,0.99859191,0.857142857,0.73553719,0.456640402,1,0.719632225,0.846153846,0.86195863,0.679245283,1.4206082,1,0.46247999,1,1.962792764,0.914893617,1.84105023,0.936507937,0.725069945,0.85714284,0.741740823,0.92424241
subject_54,3.298461016,1.011605068,0.588235294,0.452991453,0.978224328,0.933333333,1.092176264,0.666666667,0.973766817,0.617021277,2.36897475,0.6,3.281600391,0.454545455,3.190721751,0.457142857,2.2992679,0.775510204,0.954545717,0.543478249,0.885399079,0.68115941
subject_55,3.629734684,1.019635991,0.882352941,0.900990099,0.426511924,1,1.096167182,0.725,1.127690824,0.731707317,0.810262091,1,0.772844392,1,2.632010135,0.87037037,1.927509191,1,1.165554885,0.787234026,1.075895417,0.866666652
subject_56,4.233375913,1.063505224,0.923076923,0.989130435,0.322836391,1,0.790200022,0.97826087,1.012557665,0.836363636,1.675286636,1,0.931561678,1,1.953822878,1,1.868249848,1,0.798647757,0.886363616,0.919541963,0.818181806
subject_57,3.100207582,1.003144967,0.727272727,0.632478632,0.419255663,1,0.997884214,0.929824561,1.28369648,0.609756098,0.648394655,1,0.541281642,1,2.056147365,0.960784314,1.86178892,1,1.000147919,0.749999984,1.042254795,0.803571414
subject_58,2.205150366,0.99723581,0.6875,0.554545455,0.422398782,1,1.127298753,0.672727273,0.86072364,0.697674419,1.22083354,0.8,1.90703909,0.6,2.06170129,0.897959184,2.035808009,0.923076923,1.092222363,0.692307679,1.048398486,0.634920625
subject_59,2.569096614,0.975497566,0.785714286,0.657407407,0.352794398,1,0.769253676,0.709677419,0.612173785,0.868852459,0.793201017,1,0.5470447,1,2.312193342,0.82,1.95090504,0.9375,0.884444372,0.919999982,0.699992807,0.896551709
subject_60,3.961899554,1.048870767,0.789473684,0.767241379,0.659513282,1,0.875931689,0.912280702,1.117494983,0.8125,2.445238208,0.538461538,1.580166036,1,2.535559571,0.844444444,2.007203518,1,1.162718474,0.901960767,1.147391315,0.676923067
subject_62,3.842950499,1.036591662,0.785714286,0.969387755,0.32475634,1,1.858598441,0.128205128,1.807576008,0.184210526,0.55498872,1,0.559281022,1,1.849529496,0.981818182,1.8323777,1,0.839729355,0.795918351,0.896448774,0.64516128
subject_63,3.667399546,1.011805908,0.733333333,0.885714286,0.447916269,1,0.828125517,0.931034483,0.862904134,0.886792453,4.112385969,0,0.7336625,0.923076923,2.648918973,0.902439024,2.135596794,1,0.942073376,0.878048759,0.879354773,0.71999999
subject_64,4.063266056,1.035707653,0.666666667,0.847619048,0.384756476,1,0.793238664,0.727272727,1.013730067,0.836734694,1.323985856,0.777777778,1.050243389,1,2.245546112,0.510204082,1.869581954,0.87037037,0.680943471,0.88095236,0.70175471,0.433333326
subject_65,3.320246824,1.030119827,0.769230769,0.891891892,0.346366551,1,1.384771573,0.568181818,1.108971402,0.867924528,0.98033741,1,0.6755073,1,2.659590216,0.9375,1.984159253,1,1.168059404,0.686274496,1.145631445,0.703124989
subject_66,4.619541054,0.986587807,0.8125,0.7,0.334266285,1,1.128559895,0.75,1.028803126,0.837209302,1.433294938,1,0.86052657,1,2.098251007,0.965517241,2.010858196,0.934782609,1.092203694,0.754716967,1.191641947,0.70689654
subject_67,1.913419903,0.973467888,0.538461538,0.435643564,0.636662942,1,0.804752212,0.826923077,0.556344933,0.836363636,2.07855077,0.3,1.19950649,0.8,2.342977562,0.941176471,2.004583315,0.943396226,1.502570645,0.534883708,1.232232543,0.722222212
subject_68,3.440608899,0.996817101,0.6875,0.861111111,0.335672237,1,0.94128918,0.909090909,0.984509878,0.890909091,0.75088214,0.9,0.58120069,0.9,2.169658127,0.875,1.877492813,1,1.283100586,0.666666653,1.039615787,0.685185172
subject_69,10.58439922,1.028702236,0.5,0.643478261,0.813534829,0.984615385,1.413936389,0.578947368,1.200939077,0.75,1.545816673,0.545454545,3.86723337,0.1,2.576691646,0.979591837,2.089297065,0.88,1.297105841,0.860465096,1.269982829,0.84615383
subject_70,5.032054459,1.00342873,0.235294118,0.361111111,0.403275215,1,0.703389828,0.867924528,0.76333799,0.881355932,1.21626534,1,0.65757286,1,2.313721844,0.823529412,1.832813872,0.970149254,1.12133585,0.770833317,1.116000101,0.724637671
subject_71,4.916056809,0.979500386,1,0.834862385,0.372197829,1,1.422896933,0.673469388,1.107178888,0.829268293,1.060051436,1,1.3128743,0.818181818,2.853609164,0.866666667,1.929823935,0.979166667,0.779118522,0.866666647,0.924367905,0.796874988
subject_72,4.453042453,1.02646468,1,0.220472441,0.977362936,0.945454545,1.428821149,0.756097561,1.237757192,0.754716981,1.084521242,0.916666667,0.94848365,1,2.232799102,0.98,2.297542084,0.837209302,1.314506042,0.837209283,1.132393397,0.859374987
subject_73,3.697410815,1.00047645,0.857142857,0.894230769,0.298971254,1,1.782840467,0.177777778,1.744319574,0.2,2.12582915,0.833333333,1.812718812,1,3.033052463,1,1.882599622,1,0.96397104,0.874999978,1.593181478,0.888888872
subject_74,6.055314786,1.036621555,0.928571429,0.526315789,0.433159715,1,0.958538863,0.930232558,1.081194425,0.849056604,1.308452179,0.928571429,1.562694491,0.909090909,2.386195846,0.956521739,2.041216402,0.983050847,1.598983228,0.897435874,1.55084568,0.830188664
subject_75,6.257660414,1.067879673,0.842105263,0.862385321,0.346359331,1,0.967175086,0.719298246,0.67716422,0.739130435,1.262155942,1,0.58311693,0.9,1.89478982,1,1.83440194,1,0.708748513,0.914893598,0.75194787,0.868421041
subject_76,4.941982827,0.981770655,0.928571429,0.626168224,0.491471325,1,1.267218706,0.787234043,1.177289613,0.888888889,0.97407991,1,0.774195667,1,2.29435856,0.92,1.927803627,0.967741935,1.239226337,0.79999998,1.459016858,0.746031734
subject_77,3.280742075,1.023237754,0.8,0.980952381,0.388255785,1,1.206256393,0.804347826,0.798281413,0.869565217,1.13624911,1,1.089469977,1,2.226668467,0.93220339,1.993640283,1,1.320072936,0.736842086,1.003787055,0.696969686
subject_78,4.067783432,1.013105972,0.307692308,0.618181818,0.415077132,1,0.851790415,0.740740741,0.603653318,0.859649123,0.772862845,0.636363636,0.55536813,1,1.889897468,0.923076923,1.792065957,0.928571429,1.045796495,0.794871774,1.208721091,0.586206886
subject_79,2.551413607,0.993623721,1,0,0.923451948,0.984615385,1.068761515,0.695652174,0.910549346,0.74,1.338636918,0.272727273,1.4138795,0.2,2.682854766,0.6,2.161641207,0.886792453,1.652472328,0.642857128,1.346056723,0.701754374
subject_8,6.393995993,1.003845223,0.8125,0.816666667,0.342770153,1,1.1188122,0.770833333,1.035612977,0.79245283,1.186143117,0.916666667,1.314906518,1,2.798961053,0.891304348,1.933033327,0.983050847,1.147335048,0.782608679,1.097084602,0.629032248
subject_80,6.131640197,1.037190199,0.842105263,0.981818182,0.325148948,1,1.065957716,0.857142857,1.050160064,0.854545455,0.874812809,1,0.57981904,1,1.917814231,0.981481481,1.820497905,0.984126984,0.801606924,0.630434769,0.960260823,0.646153836
subject_81,3.910506654,0.994833698,0.823529412,0.805309735,0.377223167,1,1.140966176,0.673913043,1.07732599,0.666666667,1.3218702,0.923076923,1.005097286,1,2.211582244,0.62,1.913737976,1,0.706482398,0.754716967,0.862612381,0.76190475
subject_82,4.064046676,0.970167767,0.9375,0.932835821,0.392343953,1,1.140604142,0.833333333,1.531219121,0.744186047,1.288531364,1,1.86789709,0.9,2.040483521,1,1.889345387,0.981481481,1.156140564,0.659999987,1.206872227,0.576271177
subject_83,3.179106708,1.03987553,0.444444444,0.733944954,0.3487036,1,1.369386577,0.534883721,0.754074125,0.821428571,2.075654091,0.727272727,0.88079601,1,2.291792537,0.948275862,1.930505862,0.949152542,1.82175226,0.61363635,1.303331625,0.549019597
subject_84,4.581937155,1.042584295,1,0.885416667,0.317992412,1,1.0090748,0.816326531,0.949847633,0.903846154,0.872465914,1,0.7078083,1,2.380127366,0.886792453,1.926543875,0.966666667,1.301724556,0.466666656,0.948911007,0.593220329
subject_85,5.87482773,1.01519568,0.8,0.822033898,0.42772446,1,1.233984513,0.711111111,1.382360184,0.720930233,1.64169805,0.8,2.258317355,0.727272727,2.571070058,0.85106383,2.011252564,0.929824561,1.342211505,0.853658516,1.276510948,0.803278675
subject_86,6.423655844,1.053350751,0.846153846,0.95505618,0.449949175,1,1.144732522,0.851851852,1.240042189,0.6,1.5639997,0.888888889,0.79891274,1,2.223931921,0.875,2.014631106,0.951612903,1.672043114,0.674418589,1.521865898,0.647058811
subject_87,3.987598123,1.048484644,0.8125,0.485148515,0.572987617,1,0.8939592,0.844827586,0.838047209,0.893617021,1.336489317,1,1.916169078,0.777777778,2.11219509,0.941176471,2.122797416,0.88,1.414035007,0.743589725,1.236092992,0.714285703
subject_88,4.398591222,1.055962372,0.8125,0.973684211,0.42556008,1,1.075641596,0.64,0.932434867,0.844444444,1.789548958,0.833333333,1.59131797,0.8,4.186195594,0.535714286,2.096528185,0.955555556,1.857808637,0.871794849,1.725732948,0.8148148
subject_89,4.50124013,1.028743299,0.8,0.954954955,0.413182449,1,1.027994835,0.882352941,1.277487696,0.844444444,1.56179637,0.9,2.461810582,0.727272727,2.074044012,1,1.986965662,1,1.180045396,0.787234026,1.377477585,0.519230759
subject_9,2.093416685,0.972831848,0.533333333,0.521276596,0.37346,1,0.782786034,0.762711864,1.072670989,0.765957447,0.866265477,0.923076923,0.74284191,0.7,1.954375302,0.945454545,1.862284061,0.935483871,0.754515123,0.840909072,0.679586828,0.623188397
subject_90,4.040471252,1.023396216,0.705882353,0.849557522,0.422395588,1,1.172990386,0.813953488,1.084546923,0.875,0.98138923,1,0.736312667,1,2.118097451,0.886792453,1.959183634,1,1.631248509,0.782608679,1.342635886,0.732142844
subject_91,5.033099539,0.999239808,0.470588235,0.339449541,0.369146876,1,1.797046583,0.166666667,1.260191722,0.6,1.362827371,1,1.549271958,1,2.290701925,1,1.979002818,1,1.736055326,0.794871774,1.635245025,0.803921553
subject_92,4.095976744,1.000239024,0.75,0.92920354,0.341695006,1,1.043787856,0.75,0.911213085,0.903846154,0.896652036,0.909090909,0.65546054,1,1.953021336,0.93442623,1.889218543,0.982758621,1.313720445,0.772727255,1.207769783,0.437499993
subject_93,3.064653246,0.971396968,0.785714286,0.677966102,0.361511004,1,0.963725326,0.824561404,0.625541361,0.894736842,1.4556595,0.916666667,0.73241265,1,1.919889102,0.950819672,1.889116226,0.983606557,1.1493166,0.533333321,0.601450566,0.552238798
subject_94,2.760588433,1.037333243,0.714285714,0.920792079,0.414599208,1,1.75643525,0.108695652,1.712316121,0.179487179,0.6838939,1,0.75545884,1,2.363407678,0.862745098,1.914589143,1,1.065788272,0.794871774,1.016744202,0.833333319
subject_95,3.31384903,1.025609035,0.833333333,0.571428571,0.410588358,1,1.078782431,0.688888889,0.941725032,0.86,1.374286889,0.888888889,1.6252951,0.727272727,2.449085872,0.813953488,1.862661966,0.895522388,0.962617915,0.749999984,0.778443041,0.799999989
subject_96,3.968275334,1.005183616,0.875,0.575221239,0.383594017,1,0.918105422,0.8,0.751715792,0.951612903,1.019761378,0.333333333,0.611599811,0.888888889,2.035009932,0.983050847,1.8771519,1,1.004644608,0.948717924,1.12842105,0.787878776
subject_97,4.167639574,1.041766834,0.866666667,0.973913043,0.353146682,1,0.856281035,0.826923077,0.939237179,0.857142857,0.950659517,1,0.67573528,1,2.208375772,0.907407407,1.92115096,0.981132075,1.094831107,0.749999983,0.881021469,0.649350641
subject_98,3.830871346,1.041258077,0.857142857,0.922222222,0.415092454,1,0.943266058,0.9,0.829441353,0.943396226,1.034863709,0.909090909,0.77215116,1,2.652802888,0.853658537,1.938777637,0.964285714,0.887109771,0.844444426,0.889802771,0.808823518
subject_99,3.805294474,1.002588102,0.9,0.512605042,0.394234654,1,0.918715675,0.818181818,0.746814576,0.881355932,1.0113634,0.818181818,0.599079827,0.909090909,2.291565176,0.93877551,1.89730262,0.982142857,0.889716235,0.877551002,1.196508748,0.749999988
