Task_name,Id_number,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient_1,Gradient_2,Gradient_3,Gradient_4,Gradient_5
Zero-Back_Task,subject_17,10,3.1000000000000054,1.0,2.4999999999999996,10.0,1.0,8.200000000000003,7.000000000000011,1.0,4.799999999999999,7.3000000000000025,2.899999999999998,2.2999999999999994,7.500000000000002,4.600000000000014,5.0000000000000036,8.700000000000005,0.002753698,0.071499126,0.236535868,-0.048768775,0.047644385
Zero-Back_Task,subject_17,13,2.0,1.0,1.6999999999999993,10.0,1.0,6.300000000000006,3.8000000000000007,3.200000000000016,4.600000000000014,8.399999999999991,1.0,2.7000000000000157,4.700000000000003,2.3000000000000047,9.499999999999991,2.6000000000000005,0.002753698,0.071499126,0.236535868,-0.048768775,0.047644385
GoNoGo_Task,subject_17,8,3.4000000000000163,1.0,7.399999999999993,8.0,1.0,5.899999999999998,3.600000000000013,7.299999999999999,2.900000000000001,8.799999999999986,3.099999999999999,1.0,1.0,1.7000000000000082,8.59999999999999,3.200000000000002,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
GoNoGo_Task,subject_17,-9,8.699999999999987,1.0,5.400000000000013,6.100000000000003,1.0,10.0,7.2999999999999945,1.0,10.0,1.0,10.0,7.1,1.0999999999999994,5.599999999999999,1.0,10.0,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
GoNoGo_Task,subject_17,-12,6.000000000000011,1.0,3.800000000000013,9.699999999999987,1.0,6.299999999999995,4.400000000000001,10.0,3.3000000000000127,7.100000000000007,1.7999999999999985,7.9000000000000075,5.6,1.0,10.0,6.900000000000011,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
Finger_Tapping_Task,subject_17,12,5.000000000000011,1.0,1.0,10.0,1.0,6.0,1.3999999999999995,1.0,8.09999999999999,1.9000000000000115,8.799999999999997,4.500000000000007,8.0,5.000000000000003,10.0,1.800000000000008,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
Finger_Tapping_Task,subject_17,-9,8.500000000000005,10.0,2.700000000000005,9.999999999999984,1.0,6.200000000000006,6.599999999999997,2.5000000000000155,5.20000000000001,1.0,2.999999999999999,4.700000000000001,6.699999999999996,10.0,10.0,4.9,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
Finger_Tapping_Task,subject_17,-6,3.000000000000001,9.0,1.7999999999999985,5.700000000000015,4.800000000000014,2.7000000000000006,2.500000000000005,2.099999999999999,4.0,3.6000000000000023,2.0999999999999974,2.9999999999999982,6.500000000000009,10.0,5.000000000000001,4.700000000000001,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
Movie_Task-incept,subject_17,7,3.500000000000002,4.000000000000002,7.799999999999991,5.4,1.0,4.100000000000001,2.0999999999999974,5.400000000000002,4.2000000000000135,6.000000000000007,2.0,3.100000000000009,3.100000000000002,5.0000000000000036,2.0,1.9000000000000008,-0.071676786,0.167172575,-0.311553447,0.016855175,0.110801794
Movie_Task-incept,subject_17,7,3.500000000000002,4.000000000000002,7.799999999999991,5.4,1.0,4.100000000000001,2.0999999999999974,5.400000000000002,4.2000000000000135,6.000000000000007,2.0,3.100000000000009,3.100000000000002,5.0000000000000036,2.0,1.9000000000000008,-0.071676786,0.167172575,-0.311553447,0.016855175,0.110801794
Movie_Task-bridge,subject_17,5,1.0,1.0,1.0,9.299999999999986,3.0,6.500000000000009,2.6000000000000014,1.1,7.0,6.399999999999999,2.0,2.300000000000012,3.500000000000002,5.500000000000009,1.0,2.5999999999999988,0.038746425,0.099305514,-0.366494178,0.006527394,0.223090865
Movie_Task-bridge,subject_17,5,1.0,1.0,1.0,9.299999999999986,3.0,6.500000000000009,2.6000000000000014,1.1,7.0,6.399999999999999,2.0,2.300000000000012,3.500000000000002,5.500000000000009,1.0,2.5999999999999988,0.038746425,0.099305514,-0.366494178,0.006527394,0.223090865
